639	Course	0	MTO course	PN	1	Months	2016-03-31	18-21-06-0871	Pass	\N	MTO
640	Course	0	Unit Security Officer	PN NI School	1	Months	2014-04-30	18-21-06-0871	Qualified	\N	USO
15	Degree	70	MS Electrical	NUST	2	Years	2010-03-15	11-20-07-8177	4.00	\N	Signal Processing
435	Degree	70	MS Control System	McGill University	1.5	Years	2022-05-31	14-20-07-1601	3.85	\N	Control Systems and Robotics
46	Degree	70	MSc Mechatronics Engineering	College of Electrical and Mechanical Engineering, NUST EME	4	Years	2019-09-30	11-20-07-4329	3.19	\N	Robotics and Industrial Automation
370	Degree	70	BE Electrical Engineering (Electronics)	Bahria University, Karachi Campus	4	Years	2018-07-03	12-20-08-3519	3.4/4	\N	Electrical (Electronics)
615	Degree	60	BE Mechanical Engineering	NED University	4	Years	2019-08-28	14-20-07-6565	3.88	\N	Mechanical
606	Degree	60	BE Electronics Engineering	Sir Syed University of Sciences & Technology	4	Years	2012-12-31	14-21-06-3669	1st	\N	Electronics & Telecom
601	Degree	60	BE Mechanical Engineering	NUST	4	Years	2019-06-05	14-20-08-6261	3.18	\N	MECHANICAL
624	Degree	60	Mechanical Engineering	PNEC NUST	4	Years	2020-07-10	14-20-08-3007	3.93	\N	Mechanical Engineering
614	Degree	60	BE Mechanical Engineering	NUST PNEC	4	Years	2020-01-16	14-20-08-7029	3.24	\N	Mechanical
513	Degree	60	BE Mechanical Engineering	PNEC-NUST	4	Years	2020-01-17	14-21-05-1233	3.41/4.00	\N	Renewable Energy, CFD, Power Plant Engineering, Petroleum Engineering
585	Degree	60	BE Electronics	PAF-KIET	4	Years	2020-12-22	14-21-04-0903	3.37	\N	Avionics
637	Degree	60	BA	KU	2	Years	1997-05-06	18-21-06-0871	B	\N	Political Science, Islamic History, Islamic studies,
626	Degree	50	DAE & BTech	GCT Bannu	3	Years	2018-12-15	14-20-11-0041	A	\N	Electrical
633	Degree	30	Matric	NA	2	Years	2016-01-01	14-20-06-9965	1ST	\N	XX
653	Degree	60	Engineering	NUST-PNEC	4	Years	2020-07-10	14-21-09-7688	3.79	\N	IME
658	Degree	60	BE-ME	NUST PNEC	4	Years	2023-07-01	14-20-09-9481	3.94	\N	ME
659	Course	0	Models of business in society	N/A	1	Months	2020-04-30	14-20-09-9481	N/A	N/A	N/A
661	Course	0	Solid works surface modelling	N/A	1	Months	2020-04-30	14-20-09-9481	N/A	N/A	N/A
662	Course	0	Ansys	N/A	1	Months	1930-02-20	14-20-09-9481	N/A	N/A	N/A
663	Degree	60	BE-ME	NUST PNEC	4	Years	2021-07-30	14-20-09-9553	3.88	\N	ME
